budget_id,region,department,fiscal_year,quarter,budget_amount,actual_amount,forecast_amount,currency
BUD-001,NorthEurope,Ground Engineering,2026,Q1,4500000.00,4125000.00,4300000.00,GBP
BUD-002,NorthEurope,Ground Engineering,2026,Q2,4800000.00,5100000.00,4900000.00,GBP
BUD-003,NorthEurope,Piling,2026,Q1,3200000.00,3050000.00,3100000.00,GBP
BUD-004,NorthEurope,Piling,2026,Q2,3500000.00,3350000.00,3400000.00,GBP
BUD-005,WestEurope,Ground Engineering,2026,Q1,5100000.00,5400000.00,5200000.00,EUR
BUD-006,WestEurope,Ground Engineering,2026,Q2,5300000.00,4900000.00,5100000.00,EUR
BUD-007,WestEurope,Foundation Services,2026,Q1,2800000.00,2650000.00,2750000.00,EUR
BUD-008,WestEurope,Foundation Services,2026,Q2,3000000.00,3200000.00,3100000.00,EUR
BUD-009,APAC,Ground Engineering,2026,Q1,3800000.00,4100000.00,3900000.00,AUD
BUD-010,APAC,Ground Engineering,2026,Q2,4000000.00,3750000.00,3850000.00,AUD
BUD-011,APAC,Marine Services,2026,Q1,2200000.00,2350000.00,2250000.00,AUD
BUD-012,APAC,Marine Services,2026,Q2,2400000.00,2500000.00,2450000.00,AUD
BUD-013,NorthAmerica,Ground Engineering,2026,Q1,6200000.00,5800000.00,6000000.00,USD
BUD-014,NorthAmerica,Ground Engineering,2026,Q2,6500000.00,6900000.00,6700000.00,USD
BUD-015,NorthAmerica,Deep Foundations,2026,Q1,4100000.00,3950000.00,4000000.00,USD
BUD-016,NorthAmerica,Deep Foundations,2026,Q2,4300000.00,4500000.00,4400000.00,USD
BUD-017,MiddleEast,Ground Engineering,2026,Q1,3500000.00,3800000.00,3600000.00,AED
BUD-018,MiddleEast,Ground Engineering,2026,Q2,3700000.00,3550000.00,3650000.00,AED
BUD-019,MiddleEast,Geotechnical,2026,Q1,1800000.00,1750000.00,1780000.00,AED
BUD-020,MiddleEast,Geotechnical,2026,Q2,1900000.00,2050000.00,1950000.00,AED
